epoch,acc,f1_m,loss,precision_m,recall_m,val_acc,val_f1_m,val_loss,val_precision_m,val_recall_m
0,0.8381944298744202,0.7241216897964478,0.6403053998947144,0.928762674331665,0.6409721970558167,0.9131944179534912,0.8796155452728271,0.3959268033504486,0.9644303917884827,0.8125
1,0.9659722447395325,0.9602440595626831,0.18539558351039886,0.9819841980934143,0.9402777552604675,0.9097222089767456,0.9002493619918823,0.30590182542800903,0.9468989968299866,0.8611111044883728
2,0.981249988079071,0.9795833826065063,0.11734455078840256,0.9894474744796753,0.9701389074325562,0.9340277910232544,0.9271865487098694,0.25217247009277344,0.9628298282623291,0.8958333134651184
3,0.981249988079071,0.9806423783302307,0.09476233273744583,0.9886857867240906,0.9729166626930237,0.9375,0.9372844696044922,0.21070128679275513,0.9634153842926025,0.9131944179534912
4,0.9854166507720947,0.9845775365829468,0.07187029719352722,0.9895146489143372,0.9798611402511597,0.9305555820465088,0.9267508387565613,0.22136680781841278,0.9453134536743164,0.9097222089767456
5,0.9902777671813965,0.9902006387710571,0.0575852133333683,0.9929884076118469,0.987500011920929,0.9375,0.9400162100791931,0.19233611226081848,0.9501105546951294,0.9305555820465088
6,0.988194465637207,0.9877755641937256,0.05281854793429375,0.9902106523513794,0.9854166507720947,0.9479166865348816,0.9445683360099792,0.19216860830783844,0.96720951795578,0.9236111044883728
7,0.9923611283302307,0.9905864000320435,0.055380821228027344,0.9930555820465088,0.988194465637207,0.9375,0.9483901262283325,0.17062130570411682,0.9673603773117065,0.9305555820465088
8,0.9930555820465088,0.9919753074645996,0.04607117548584938,0.9930108189582825,0.9909722208976746,0.9444444179534912,0.9436538219451904,0.1656186282634735,0.9539186954498291,0.9340277910232544
9,0.9916666746139526,0.9915777444839478,0.0397859625518322,0.9951165318489075,0.988194465637207,0.9375,0.9349645972251892,0.17362965643405914,0.9431003928184509,0.9270833134651184
